park_name,gu,dong,gu_dong
,종로구,봉익동,종로구_봉익동
,종로구,부암동,종로구_부암동
,서대문구,북가좌동,서대문구_북가좌동
,서대문구,북아현동,서대문구_북아현동
,중구,북창동,중구_북창동
,종로구,사간동,종로구_사간동
,성동구,사근동,성동구_사근동
,중구,산림동,중구_산림동
,용산구,산천동,용산구_산천동
,중구,삼각동,중구_삼각동
,성북구,삼선동1가,성북구_삼선동1가
,성북구,삼선동2가,성북구_삼선동2가
,성북구,삼선동3가,성북구_삼선동3가
,성북구,삼선동4가,성북구_삼선동4가
,성북구,삼선동5가,성북구_삼선동5가
,송파구,삼전동,송파구_삼전동
,노원구,상계동,노원구_상계동
,동작구,상도1동,동작구_상도1동
,동작구,상도동,동작구_상도동
,중랑구,상봉동,중랑구_상봉동
,마포구,상수동,마포구_상수동
,성동구,상왕십리동,성동구_상왕십리동
,용산구,서계동,용산구_서계동
,마포구,서교동,마포구_서교동
,종로구,서린동,종로구_서린동
,용산구,서빙고동,용산구_서빙고동
,중구,서소문동,중구_서소문동
,서초구,서초동,서초구_서초동
,성북구,석관동,성북구_석관동
,송파구,석촌동,송파구_석촌동
,강동구,성내동,강동구_성내동
,성북구,성북동1가,성북구_성북동1가
,마포구,성산동,마포구_성산동
,강남구,세곡동,강남구_세곡동
,종로구,소격동,종로구_소격동
,중구,소공동,중구_소공동
,종로구,송월동,종로구_송월동
,성동구,송정동,성동구_송정동
,송파구,송파동,송파구_송파동
,종로구,송현동,종로구_송현동
,은평구,수색동,은평구_수색동
,강남구,수서동,강남구_수서동
,종로구,수송동,종로구_수송동
,강북구,수유동,강북구_수유동
,중구,수표동,중구_수표동
,중구,수하동,중구_수하동
,중구,순화동,중구_순화동
,종로구,숭인동,종로구_숭인동
,용산구,신계동,용산구_신계동
,마포구,신공덕동,마포구_신공덕동
,종로구,신교동,종로구_신교동
,영등포구,신길동,영등포구_신길동
,중구,신당동,중구_신당동
,구로구,신도림동,구로구_신도림동
,종로구,신문로1가,종로구_신문로1가
,동대문구,신설동,동대문구_신설동
,마포구,신수동,마포구_신수동
,종로구,신영동,종로구_신영동
,서초구,신원동,서초구_신원동
,용산구,신창동,용산구_신창동
,송파구,신천동,송파구_신천동
,서대문구,신촌동,서대문구_신촌동
,중구,쌍림동,중구_쌍림동
,마포구,아현동,마포구_아현동
,종로구,안국동,종로구_안국동
,성북구,안암동1가,성북구_안암동1가
,성북구,안암동2가,성북구_안암동2가
,성북구,안암동3가,성북구_안암동3가
,성북구,안암동4가,성북구_안암동4가
,성북구,안암동5가,성북구_안암동5가
,강동구,암사동,강동구_암사동
,강남구,압구정동,강남구_압구정동
,영등포구,양평동,영등포구_양평동
,영등포구,양평동1가,영등포구_양평동1가
,영등포구,양평동2가,영등포구_양평동2가
,영등포구,양평동3가,영등포구_양평동3가
,영등포구,양평동4가,영등포구_양평동4가
,영등포구,양평동5가,영등포구_양평동5가
,영등포구,양평동6가,영등포구_양평동6가
,강남구,역삼동,강남구_역삼동
,은평구,역촌동,은평구_역촌동
,종로구,연건동,종로구_연건동
,마포구,연남동,마포구_연남동
,종로구,연지동,종로구_연지동
,서초구,염곡동,서초구_염곡동
,마포구,염리동,마포구_염리동
,영등포구,영등포동1가,영등포구_영등포동1가
,영등포구,영등포동3가,영등포구_영등포동3가
,영등포구,영등포동4가,영등포구_영등포동4가
,영등포구,영등포동5가,영등포구_영등포동5가
,영등포구,영등포동6가,영등포구_영등포동6가
,영등포구,영등포동7가,영등포구_영등포동7가
,영등포구,영등포동8가,영등포구_영등포동8가
,서대문구,영천동,서대문구_영천동
,중구,예관동,중구_예관동
,중구,예장동,중구_예장동
,종로구,예지동,종로구_예지동
,강서구,오곡동,강서구_오곡동
,강서구,오쇠동,강서구_오쇠동
,중구,오장동,중구_오장동
,성동구,옥수동,성동구_옥수동
,서대문구,옥천동,서대문구_옥천동
,구로구,온수동,구로구_온수동
,종로구,와룡동,종로구_와룡동
,강서구,외발산동,강서구_외발산동
,마포구,용강동,마포구_용강동
,성동구,용답동,성동구_용답동
,용산구,용문동,용산구_용문동
,용산구,용산동1가,용산구_용산동1가
,용산구,용산동3가,용산구_용산동3가
,용산구,용산동4가,용산구_용산동4가
,용산구,용산동5가,용산구_용산동5가
,종로구,운니동,종로구_운니동
,종로구,원남동,종로구_원남동
,종로구,원서동,종로구_원서동
,서초구,원지동,서초구_원지동
,용산구,원효로1가,용산구_원효로1가
,용산구,원효로2가,용산구_원효로2가
,용산구,원효로3가,용산구_원효로3가
,용산구,원효로4가,용산구_원효로4가
,노원구,월계동,노원구_월계동
,강남구,율현동,강남구_율현동
,중구,을지로1가,중구_을지로1가
,중구,을지로2가,중구_을지로2가
,중구,을지로3가,중구_을지로3가
,중구,을지로4가,중구_을지로4가
,중구,을지로6가,중구_을지로6가
,중구,을지로7가,중구_을지로7가
,성동구,응봉동,성동구_응봉동
,은평구,응암동,은평구_응암동
,중구,의주로1가,중구_의주로1가
,중구,의주로2가,중구_의주로2가
,동대문구,이문동,동대문구_이문동
,용산구,이촌동,용산구_이촌동
,용산구,이태원동,용산구_이태원동
,종로구,이화동,종로구_이화동
,종로구,익선동,종로구_익선동
,종로구,인사동,종로구_인사동
,종로구,인의동,종로구_인의동
,중구,인현동1가,중구_인현동1가
,중구,인현동2가,중구_인현동2가
,중구,입정동,중구_입정동
,강남구,자곡동,강남구_자곡동
,광진구,자양동,광진구_자양동
,서초구,잠원동,서초구_잠원동
,중구,장교동,중구_장교동
,종로구,장사동,종로구_장사동
,동대문구,장안동,동대문구_장안동
,성북구,장위동,성북구_장위동
,송파구,장지동,송파구_장지동
,중구,장충동1가,중구_장충동1가
,중구,장충동2가,중구_장충동2가
,종로구,재동,종로구_재동
,중구,저동1가,중구_저동1가
,중구,저동2가,중구_저동2가
,종로구,적선동,종로구_적선동
,중구,정동,중구_정동
,동대문구,제기동,동대문구_제기동
,종로구,종로1가,종로구_종로1가
,종로구,종로3가,종로구_종로3가
,종로구,종로4가,종로구_종로4가
,종로구,종로5가,종로구_종로5가
,종로구,종로6가,종로구_종로6가
,성북구,종암동,성북구_종암동
,중구,주교동,중구_주교동
,용산구,주성동,용산구_주성동
,중구,주자동,중구_주자동
,노원구,중계동,노원구_중계동
,광진구,중곡동,광진구_중곡동
,마포구,중동,마포구_중동
,중구,중림동,중구_중림동
,종로구,중학동,종로구_중학동
,중랑구,중화동,중랑구_중화동
,은평구,증산동,은평구_증산동
,종로구,창성동,종로구_창성동
,종로구,창신동,종로구_창신동
,서대문구,창천동,서대문구_창천동
,서대문구,천연동,서대문구_천연동
,구로구,천왕동,구로구_천왕동
,강남구,청담동,강남구_청담동
,동대문구,청량리동,동대문구_청량리동
,용산구,청암동,용산구_청암동
,종로구,청운동,종로구_청운동
,종로구,청진동,종로구_청진동
,용산구,청파동1가,용산구_청파동1가
,용산구,청파동2가,용산구_청파동2가
,용산구,청파동3가,용산구_청파동3가
,종로구,체부동,종로구_체부동
,중구,초동,중구_초동
,중구,충무로1가,중구_충무로1가
,중구,충무로2가,중구_충무로2가
,중구,충무로3가,중구_충무로3가
,중구,충무로4가,중구_충무로4가
,중구,충무로5가,중구_충무로5가
,종로구,충신동,종로구_충신동
,중구,충정로1가,중구_충정로1가
,서대문구,충정로2가,서대문구_충정로2가
,서대문구,충정로3가,서대문구_충정로3가
,중구,태평로1가,중구_태평로1가
,중구,태평로2가,중구_태평로2가
,마포구,토정동,마포구_토정동
,종로구,통의동,종로구_통의동
,종로구,통인동,종로구_통인동
,종로구,팔판동,종로구_팔판동
,종로구,평동,종로구_평동
,종로구,평창동,종로구_평창동
,송파구,풍납동,송파구_풍납동
,중구,필동1가,중구_필동1가
,중구,필동2가,중구_필동2가
,중구,필동3가,중구_필동3가
,종로구,필운동,종로구_필운동
,노원구,하계동,노원구_하계동
,성동구,하왕십리동,성동구_하왕십리동
,성북구,하월곡동,성북구_하월곡동
,마포구,하중동,마포구_하중동
,용산구,한강로1가,용산구_한강로1가
,용산구,한강로2가,용산구_한강로2가
,용산구,한강로3가,용산구_한강로3가
,용산구,한남동,용산구_한남동
,서대문구,합동,서대문구_합동
,성동구,행당동,성동구_행당동
,종로구,행촌동,종로구_행촌동
,마포구,현석동,마포구_현석동
,종로구,혜화동,종로구_혜화동
,성동구,홍익동,성동구_홍익동
,서대문구,홍제동,서대문구_홍제동
,종로구,홍지동,종로구_홍지동
,종로구,홍파동,종로구_홍파동
,종로구,화동,종로구_화동
,광진구,화양동,광진구_화양동
,중구,황학동,중구_황학동
,동대문구,회기동,동대문구_회기동
,중구,회현동1가,중구_회현동1가
,중구,회현동2가,중구_회현동2가
,중구,회현동3가,중구_회현동3가
,종로구,효자동,종로구_효자동
,종로구,효제동,종로구_효제동
,용산구,후암동,용산구_후암동
,종로구,훈정동,종로구_훈정동
,동대문구,휘경동,동대문구_휘경동
,동작구,흑석동,동작구_흑석동
,중구,흥인동,중구_흥인동
